word,stress_rule,pair_partner,corpus_weight,detail
ayúdalo,exception,,3,esdrújula: stress on the 3rd-from-last syllable ALWAYS takes a tilde
voltéate,exception,,3,esdrújula: stress on the 3rd-from-last syllable ALWAYS takes a tilde
ríe,exception,,3,"hiatus: the í/ú breaks the diphthong (dí-a, to-da-ví-a, o-ír)"
diviértete,exception,,3,esdrújula: stress on the 3rd-from-last syllable ALWAYS takes a tilde
relájate,exception,,3,esdrújula: stress on the 3rd-from-last syllable ALWAYS takes a tilde
déjalo,exception,,3,esdrújula: stress on the 3rd-from-last syllable ALWAYS takes a tilde
valóralo,exception,,3,esdrújula: stress on the 3rd-from-last syllable ALWAYS takes a tilde
entiéndelo,exception,,3,esdrújula: stress on the 3rd-from-last syllable ALWAYS takes a tilde
anímalo,exception,,3,esdrújula: stress on the 3rd-from-last syllable ALWAYS takes a tilde
búsqueda,exception,,3,esdrújula: stress on the 3rd-from-last syllable ALWAYS takes a tilde
político,exception,,3,esdrújula: stress on the 3rd-from-last syllable ALWAYS takes a tilde
devoción,vowel-n-s,,3,ends in vowel/n/s but stressed on the LAST syllable → tilde
síntomas,exception,,3,esdrújula: stress on the 3rd-from-last syllable ALWAYS takes a tilde
carismática,exception,,3,esdrújula: stress on the 3rd-from-last syllable ALWAYS takes a tilde
órdenes,exception,,3,esdrújula: stress on the 3rd-from-last syllable ALWAYS takes a tilde
debería,exception,,3,"hiatus: the í/ú breaks the diphthong (dí-a, to-da-ví-a, o-ír)"
metió,vowel-n-s,,3,ends in vowel/n/s but stressed on the LAST syllable → tilde
área,exception,,3,esdrújula: stress on the 3rd-from-last syllable ALWAYS takes a tilde
prosperará,vowel-n-s,,3,ends in vowel/n/s but stressed on the LAST syllable → tilde
traía,exception,,3,"hiatus: the í/ú breaks the diphthong (dí-a, to-da-ví-a, o-ír)"
Valentín,vowel-n-s,,3,ends in vowel/n/s but stressed on the LAST syllable → tilde
víctimas,exception,,3,esdrújula: stress on the 3rd-from-last syllable ALWAYS takes a tilde
